dataset,crop,field,source,source_url,accessed_date,notes
crops,Green Gram,season,Government of Tamil Nadu/TNAU,https://tnagriculture.in/dashboard/CPG/04_Greengram.pdf,2026-08-20,"Five sub-season sowing windows confirmed: Adipattam (June-July) and Purattasipattam (Sep-Oct) = kharif (rainfed, most districts); Margazhi-Thaipattam (Dec-Jan) and Rice fallows (Jan-Feb) = rabi; Summer (Feb-March) = zaid"
crops,Green Gram,duration_days,Government of Tamil Nadu/TNAU,https://tnagriculture.in/dashboard/CPG/04_Greengram.pdf,2026-08-20,"CO(Gg) 7 variety (broadest seasonal coverage - grown in Adipattam, Purattasipattam, Margazhi-Thaipattam and Summer): duration 60-65 days; representative value 63 used. Other varieties range 55-75 days depending on cultivar."
crops,Green Gram,estimated_cost,TNAU Agritech Portal (orig. Directorate of Economics & Statistics GoI),https://agritech.tnau.ac.in/agriculture/agri_costofcultivation_greengram2012.html,2026-08-20,"Original cost: Rs.28522/ha (Total Cost, operational+fixed), data year 2020-2021, page updated Feb 2023; converted to 11542 INR/acre (28522/2.47105); historical figure, not current 2026 cost"
crops,Green Gram,expected_yield,TNAU Agritech Portal (orig. Directorate of Economics & Statistics GoI),https://agritech.tnau.ac.in/agriculture/agri_costofcultivation_greengram2012.html,2026-08-20,"Original yield: 3.52 qtl/ha (352 kg/ha) main product, state-wide farm-survey average, data year 2020-2021; converted to 142 kg/acre (352/2.47105). Note: CO(Gg)7 variety-trial rainfed yield higher (980 kg/ha=397 kg/acre) per https://tnagriculture.in/dashboard/CPG/04_Greengram.pdf, but farm-survey figure chosen as more realistic for MVP"
crops,Sesame,soil_type,Government of Tamil Nadu/TNAU,https://tnagriculture.in/dashboard/CPG/05_Sesame.pdf,2026-08-20,"Fertilizer ready-reckoner references one soil series: Black alluvium (Adanur series); normalized to black;alluvial"
crops,Sesame,water_requirement,Government of Tamil Nadu/TNAU,https://tnagriculture.in/dashboard/CPG/05_Sesame.pdf,2026-08-20,"Climate requirement table: rainfall 450-500 mm; irrigation critical only at flowering (35-45 DAS), stopped after 65 DAS; classified as low"
crops,Sesame,season,Government of Tamil Nadu/TNAU,https://tnagriculture.in/dashboard/CPG/05_Sesame.pdf,2026-08-20,"Grown across all zones in three season types: Anippattam/Adippattam/Purattasipattam (June-Oct) = kharif rainfed; Karthigaipattam/Margazhipattam/Thaippattam (Nov-Feb) = rabi irrigated; Masipattam/Chithiraipattam (Feb-May) = zaid summer irrigated. Separate irrigated and rainfed variety lists confirm all three season types are genuinely practiced."
crops,Sesame,duration_days,Government of Tamil Nadu/TNAU,https://tnagriculture.in/dashboard/CPG/05_Sesame.pdf,2026-08-20,"TMV 7 variety (most widely grown, appears in nearly all zone/season combinations): duration 80-85 days; representative value 83 used. VRI(Sv)2 also 80-85 days; VRI 3 shorter at 75-80 days."
crops,Sesame,estimated_cost,TNAU Agritech Portal (orig. Directorate of Economics & Statistics GoI),https://agritech.tnau.ac.in/agriculture/agri_costofcultivation_gingelly2012.html,2026-08-20,"Original cost: Rs.60037/ha (Total Cost, operational+fixed), data year 2020-2021, page updated Feb 2023; converted to 24296 INR/acre (60037/2.47105); historical figure, not current 2026 cost"
crops,Sesame,expected_yield,TNAU Agritech Portal (orig. Directorate of Economics & Statistics GoI),https://agritech.tnau.ac.in/agriculture/agri_costofcultivation_gingelly2012.html,2026-08-20,"Original yield: 6.83 qtl/ha (683 kg/ha) main product, state-wide farm-survey average, data year 2020-2021; converted to 276 kg/acre (683/2.47105). Note: TMV7 variety-trial yields higher (Rainfed 850 kg/ha=344 kg/acre; Irrigated 920 kg/ha=372 kg/acre) per https://tnagriculture.in/dashboard/CPG/05_Sesame.pdf, but farm-survey figure chosen as more realistic for MVP"
crops,Rice,soil_type,Government of Tamil Nadu/TNAU,https://tnagriculture.in/dashboard/CPG/01_Rice.pdf,2026-08-20,"Fertilizer ready-reckoner (14 sub-tables) documents multiple soil series: River alluvium (Noyyal, Manakkarai, Ambasamudram series), Red sandy loam (Irugur series), Black alluvium (Adanur, Kalathur series), Red non-calcareous (Vannapatti series); normalized to alluvial;red;black;loamy"
crops,Rice,water_requirement,Government of Tamil Nadu/TNAU,https://tnagriculture.in/dashboard/CPG/01_Rice.pdf,2026-08-20,"Climate requirement table: rainfall 1000-4500 mm; traditional transplanted rice needs 1200-1400mm total water; even water-saving aerobic rice method needs 650mm; classified as high"
crops,Rice,season,Government of Tamil Nadu/TNAU,https://tnagriculture.in/dashboard/CPG/01_Rice.pdf,2026-08-20,"Three season types confirmed across all zones: Kuruvai/Samba/Thaladi (June-Oct) = kharif; Navarai (Dec-Jan) = rabi; Sornavari/Kar (Apr-June) = zaid"
crops,Rice,duration_days,Government of Tamil Nadu/TNAU,https://tnagriculture.in/dashboard/CPG/01_Rice.pdf,2026-08-20,"CO 51 variety (most frequently recommended across zones and seasons): duration 105-110 days; representative value 108 used. Varieties overall span short (94-120 days), medium (120-140 days), and long (149-165 days) duration categories."
crops,Rice,estimated_cost,TNAU Agritech Portal (orig. Directorate of Economics & Statistics GoI),https://agritech.tnau.ac.in/agriculture/agri_costofcultivation_rice.html,2026-08-20,"Original cost: Rs.86071/ha (Total Cost, operational+fixed), data year 2020-2021; converted to 34832 INR/acre (86071/2.47105); historical figure, not current 2026 cost"
crops,Rice,expected_yield,TNAU Agritech Portal (orig. Directorate of Economics & Statistics GoI),https://agritech.tnau.ac.in/agriculture/agri_costofcultivation_rice.html,2026-08-20,"Original yield: 45.91 qtl/ha (4591 kg/ha) main product, state-wide farm-survey average, data year 2020-2021; converted to 1858 kg/acre (4591/2.47105). Note: CO51 variety-trial yield higher (6641 kg/ha=2688 kg/acre) per https://tnagriculture.in/dashboard/CPG/01_Rice.pdf, but farm-survey figure chosen as more realistic for MVP"
crops,Maize,soil_type,Government of Tamil Nadu/TNAU,https://tnagriculture.in/dashboard/CPG/02_%20Maize.pdf,2026-08-20,"Fertilizer ready-reckoner: irrigated hybrid maize on Red sandy loam, Mixed black calcareous and Black calcareous soil series; rainfed maize on Red sandy loam; normalized to red;black;sandy;loamy."
crops,Maize,water_requirement,Government of Tamil Nadu/TNAU,https://tnagriculture.in/dashboard/CPG/02_%20Maize.pdf,2026-08-20,Rainfall 500-750 mm; crop sensitive to moisture stress and excess; critical phase 45-65 DAS; classified as moderate based on source information.
crops,Maize,season,Government of Tamil Nadu/TNAU,https://tnagriculture.in/dashboard/CPG/02_%20Maize.pdf,2026-08-20,Adipattam and Purattasipattam mapped to kharif; Thaipattam to rabi; Chithiraipattam to zaid.
crops,Maize,duration_days,Government of Tamil Nadu/TNAU,https://tnagriculture.in/dashboard/CPG/02_%20Maize.pdf,2026-08-20,CO 6 hybrid has a fixed duration of 110 days and is recommended broadly; representative value used. Other hybrids differ.
crops,Maize,estimated_cost,"TNAU Agritech Portal (original source: Directorate of Economics & Statistics, Government of India)",https://agritech.tnau.ac.in/agriculture/agri_costofcultivation_maize2012.html,2026-08-20,"Original total cost: Rs.79590/ha, 2020-2021; converted to 32209 INR/acre using 1 hectare = 2.47105 acres. Historical reference, not current 2026 cost."
crops,Maize,expected_yield,"TNAU Agritech Portal (original source: Directorate of Economics & Statistics, Government of India)",https://agritech.tnau.ac.in/agriculture/agri_costofcultivation_maize2012.html,2026-08-20,"Original main-product yield: 43.46 qtl/ha (4346 kg/ha), 2020-2021; converted to 1759 kg/acre. Farm-survey average used instead of higher variety-trial yields."
crops,Cotton,soil_type,Government of Tamil Nadu/TNAU,https://tnagriculture.in/dashboard/CPG/06_Cotton.pdf,2026-08-20,"Fertilizer ready-reckoner references Mixed black calcareous, Red sandy loam and Black soil series under different conditions; normalized to black;red;sandy;loamy."
crops,Cotton,water_requirement,Government of Tamil Nadu/TNAU,https://tnagriculture.in/dashboard/CPG/06_Cotton.pdf,2026-08-20,"Rainfall 500-700 mm; sensitive to excess moisture, especially at fruiting; irrigation scheduled by growth phase; classified as moderate."
crops,Cotton,season,Government of Tamil Nadu/TNAU,https://tnagriculture.in/dashboard/CPG/06_Cotton.pdf,2026-08-20,Winter Irrigated and Rainfed windows mapped to kharif; Rice Fallow to rabi; Summer Irrigated to zaid.
crops,Cotton,duration_days,Government of Tamil Nadu/TNAU,https://tnagriculture.in/dashboard/CPG/06_Cotton.pdf,2026-08-20,SVPR 3 and K12 are stated at 135-140 days; representative value 138 used. Other cotton hybrids may have longer durations.
crops,Cotton,estimated_cost,"TNAU Agritech Portal (original source: Directorate of Economics & Statistics, Government of India)",https://agritech.tnau.ac.in/agriculture/agri_costofcultivation_cotton12.html,2026-08-20,"Original total cost: Rs.116134/ha, 2020-2021; converted to 46998 INR/acre. Historical reference, not current 2026 cost."
crops,Cotton,expected_yield,"TNAU Agritech Portal (original source: Directorate of Economics & Statistics, Government of India)",https://agritech.tnau.ac.in/agriculture/agri_costofcultivation_cotton12.html,2026-08-20,"Original main-product yield: 17.15 qtl/ha (1715 kg/ha), seed cotton/kapas, 2020-2021; converted to 694 kg/acre. Farm-survey average used instead of variety-trial yields."
crops,Sorghum,soil_type,Government of Tamil Nadu/TNAU,https://tnagriculture.in/dashboard/CPG/02_Sorghum.pdf,2026-08-20,Fertilizer ready-reckoner references Red sandy loam and Mixed black calcareous soil series; normalized to red;black;sandy;loamy.
crops,Sorghum,water_requirement,Government of Tamil Nadu/TNAU,https://tnagriculture.in/dashboard/CPG/02_Sorghum.pdf,2026-08-20,Rainfall 400-600 mm; rainfed optimum 250-300 mm; drought tolerant and also tolerates waterlogging; classified as low.
crops,Sorghum,season,Government of Tamil Nadu/TNAU,https://tnagriculture.in/dashboard/CPG/02_Sorghum.pdf,2026-08-20,Adipattam and Purattasipattam mapped to kharif; Thaipattam to rabi; Chithiraipattam to zaid.
crops,Sorghum,duration_days,Government of Tamil Nadu/TNAU,https://tnagriculture.in/dashboard/CPG/02_Sorghum.pdf,2026-08-20,CO 30 is broadly grown and has a 95-105 day duration; representative value 100 used.
crops,Sorghum,estimated_cost,"TNAU Agritech Portal (original source: Directorate of Economics & Statistics, Government of India)",https://agritech.tnau.ac.in/agriculture/agri_costofcultivation_cholam2012.html,2026-08-20,"Original total cost: Rs.51878/ha, 2020-2021; converted to 20994 INR/acre. Historical reference, not current 2026 cost."
crops,Sorghum,expected_yield,"TNAU Agritech Portal (original source: Directorate of Economics & Statistics, Government of India)",https://agritech.tnau.ac.in/agriculture/agri_costofcultivation_cholam2012.html,2026-08-20,"Original main-product yield: 12.18 qtl/ha (1218 kg/ha), 2020-2021; converted to 493 kg/acre. Farm-survey average used instead of higher variety-trial yields."
crops,Pearl Millet,soil_type,Government of Tamil Nadu/TNAU,https://tnagriculture.in/dashboard/CPG/02_Cumbu.pdf,2026-08-20,Fertilizer ready-reckoner references Mixed black calcareous soil series for hybrid cumbu; normalized to black.
crops,Pearl Millet,water_requirement,Government of Tamil Nadu/TNAU,https://tnagriculture.in/dashboard/CPG/02_Cumbu.pdf,2026-08-20,Rainfall 250-350 mm; drought tolerant; classified as low.
crops,Pearl Millet,season,Government of Tamil Nadu/TNAU,https://tnagriculture.in/dashboard/CPG/02_Cumbu.pdf,2026-08-20,Adipattam and Purattasipattam mapped to kharif; Thaipattam to rabi; Chithiraipattam to zaid.
crops,Pearl Millet,duration_days,Government of Tamil Nadu/TNAU,https://tnagriculture.in/dashboard/CPG/02_Cumbu.pdf,2026-08-20,CO 9 hybrid is listed at 75-80 days; representative value 78 used. CO 10 is longer at 85-90 days.
crops,Pearl Millet,estimated_cost,N/A,https://agritech.tnau.ac.in/agriculture/agri_costofcultivation_cumbu.html,2026-08-20,"NOT VERIFIED for the standardized MVP cost field. TNAU has an older Cumbu acre-level cost page, but it is not comparable in year/methodology to the 2020-2021 government cost-of-cultivation survey used for the other main crops. Therefore no cost number was inserted."
crops,Pearl Millet,expected_yield,Government of Tamil Nadu/TNAU,https://tnagriculture.in/dashboard/CPG/02_Cumbu.pdf,2026-08-20,"CO 9 rainfed variety-trial yield: 2707 kg/ha; converted to 1096 kg/acre. This is a variety-trial figure, not a 2020-2021 farm-survey average."
crops,Finger Millet,soil_type,Government of Tamil Nadu/TNAU,https://tnagriculture.in/dashboard/CPG/02_Ragi.pdf,2026-08-20,Fertilizer ready-reckoner references Mixed black calcareous and Red sandy loam soil series; normalized to black;red;sandy;loamy.
crops,Finger Millet,water_requirement,Government of Tamil Nadu/TNAU,https://tnagriculture.in/dashboard/CPG/02_Ragi.pdf,2026-08-20,Rainfall 500-1000 mm; crop does not tolerate heavy rainfall and needs a dry spell at ripening; classified as moderate.
crops,Finger Millet,season,Government of Tamil Nadu/TNAU,https://tnagriculture.in/dashboard/CPG/02_Ragi.pdf,2026-08-20,Adipattam/Purattasipattam mapped to kharif; Marghazhipattam to rabi; Chithiraipattam to zaid.
crops,Finger Millet,duration_days,Government of Tamil Nadu/TNAU,https://tnagriculture.in/dashboard/CPG/02_Ragi.pdf,2026-08-20,CO(Ra) 14 is suitable for rainfed and irrigated conditions and has a 105-110 day duration; representative value 108 used.
crops,Finger Millet,estimated_cost,N/A,https://agritech.tnau.ac.in/agriculture/agri_costofcultivation_ragi.html,2026-08-20,"NOT VERIFIED for the standardized MVP cost field. TNAU has an older Ragi acre-level cost page, but it is not comparable in year/methodology to the 2020-2021 government cost-of-cultivation survey used for the other main crops. Therefore no cost number was inserted."
crops,Finger Millet,expected_yield,Government of Tamil Nadu/TNAU,https://tnagriculture.in/dashboard/CPG/02_Ragi.pdf,2026-08-20,"CO(Ra) 14 rainfed variety-trial yield: 2794 kg/ha; converted to 1131 kg/acre. This is a variety-trial figure, not a 2020-2021 farm-survey average."
